{'loss': 1.9009, 'grad_norm': 0.7252843379974365, 'learning_rate': 4.8e-05, 'epoch': 0.044444444444444446, 'step': 25, 'perplexity': 6.691914455877089}
{'loss': 1.4536, 'grad_norm': 1.0153625011444092, 'learning_rate': 9.8e-05, 'epoch': 0.08888888888888889, 'step': 50, 'perplexity': 4.278489385585319}
{'eval_loss': 1.7177608013153076, 'eval_runtime': 10.7869, 'eval_samples_per_second': 46.353, 'eval_steps_per_second': 46.353, 'epoch': 0.08888888888888889, 'step': 50}
{'loss': 0.5995, 'grad_norm': 0.838718831539154, 'learning_rate': 9.994710340222329e-05, 'epoch': 0.13333333333333333, 'step': 75, 'perplexity': 1.8212079687172078}
{'loss': 0.2353, 'grad_norm': 0.38579079508781433, 'learning_rate': 9.977962885458845e-05, 'epoch': 0.17777777777777778, 'step': 100, 'perplexity': 1.2652882982900988}
{'eval_loss': 0.7949458360671997, 'eval_runtime': 10.8541, 'eval_samples_per_second': 46.065, 'eval_steps_per_second': 46.065, 'epoch': 0.17777777777777778, 'step': 100}
{'loss': 0.1532, 'grad_norm': 0.5621576905250549, 'learning_rate': 9.949786899878108e-05, 'epoch': 0.2222222222222222, 'step': 125, 'perplexity': 1.16555806724658}
{'loss': 0.1499, 'grad_norm': 0.4825035631656647, 'learning_rate': 9.910247070607552e-05, 'epoch': 0.26666666666666666, 'step': 150, 'perplexity': 1.161718065112988}
{'eval_loss': 0.33837634325027466, 'eval_runtime': 10.9394, 'eval_samples_per_second': 45.706, 'eval_steps_per_second': 45.706, 'epoch': 0.26666666666666666, 'step': 150}
{'loss': 0.094, 'grad_norm': 0.683988630771637, 'learning_rate': 9.85943417416916e-05, 'epoch': 0.3111111111111111, 'step': 175, 'perplexity': 1.0985597459171736}
{'loss': 0.0808, 'grad_norm': 0.2910732626914978, 'learning_rate': 9.797464868072488e-05, 'epoch': 0.35555555555555557, 'step': 200, 'perplexity': 1.0841540440734192}
