{'loss': 3.9422, 'grad_norm': 2.740760564804077, 'learning_rate': 1.9999719601419928e-05, 'epoch': 0.004020068180356339, 'step': 250, 'perplexity': 51.53184674770432}
{'loss': 3.7255, 'grad_norm': 2.3566644191741943, 'learning_rate': 1.9997972289848505e-05, 'epoch': 0.008040136360712678, 'step': 500, 'perplexity': 41.49197354597135}
{'loss': 3.7044, 'grad_norm': 2.6930534839630127, 'learning_rate': 1.9994625160348648e-05, 'epoch': 0.012060204541069016, 'step': 750, 'perplexity': 40.625664604033986}
{'loss': 3.7041, 'grad_norm': 2.907426595687866, 'learning_rate': 1.9989678748508744e-05, 'epoch': 0.016080272721425357, 'step': 1000, 'perplexity': 40.61347873262487}
{'eval_loss': 3.657883644104004, 'eval_runtime': 8.941, 'eval_samples_per_second': 279.61, 'eval_steps_per_second': 35.007, 'epoch': 0.016080272721425357, 'step': 1000}
{'loss': 3.6325, 'grad_norm': 2.303227663040161, 'learning_rate': 1.9983133845825114e-05, 'epoch': 0.020100340901781696, 'step': 1250, 'perplexity': 37.8072166095485}
{'loss': 3.6614, 'grad_norm': 2.61399507522583, 'learning_rate': 1.9974991499575383e-05, 'epoch': 0.02412040908213803, 'step': 1500, 'perplexity': 38.915786853247155}
{'loss': 3.6226, 'grad_norm': 1.9452875852584839, 'learning_rate': 1.9965253012650893e-05, 'epoch': 0.02814047726249437, 'step': 1750, 'perplexity': 37.43477180881553}
{'loss': 3.6343, 'grad_norm': 2.318101644515991, 'learning_rate': 1.995391994334821e-05, 'epoch': 0.03216054544285071, 'step': 2000, 'perplexity': 37.87533088390176}
{'eval_loss': 3.6367247104644775, 'eval_runtime': 9.1393, 'eval_samples_per_second': 273.543, 'eval_steps_per_second': 34.248, 'epoch': 0.03216054544285071, 'step': 2000}
{'loss': 3.6198, 'grad_norm': 2.6367979049682617, 'learning_rate': 1.994099410511981e-05, 'epoch': 0.03618061362320705, 'step': 2250, 'perplexity': 37.33010105519082}
{'loss': 3.6408, 'grad_norm': 2.2468819618225098, 'learning_rate': 1.9926477566283847e-05, 'epoch': 0.04020068180356339, 'step': 2500, 'perplexity': 38.122322387418244}
{'loss': 3.6324, 'grad_norm': 3.2829666137695312, 'learning_rate': 1.9910372649693242e-05, 'epoch': 0.04422074998391973, 'step': 2750, 'perplexity': 37.803436076917336}
{'loss': 3.6184, 'grad_norm': 2.9278650283813477, 'learning_rate': 1.9892681932363976e-05, 'epoch': 0.04824081816427606, 'step': 3000, 'perplexity': 37.27787548014625}
{'eval_loss': 3.6263015270233154, 'eval_runtime': 9.1354, 'eval_samples_per_second': 273.662, 'eval_steps_per_second': 34.262, 'epoch': 0.04824081816427606, 'step': 3000}
{'loss': 3.5699, 'grad_norm': 2.957247257232666, 'learning_rate': 1.9873408245062712e-05, 'epoch': 0.052260886344632405, 'step': 3250, 'perplexity': 35.51304166989036}
